NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,FECHA
25,576,V,V,V,V,E,L,E,E,L,18/03/2022
25,575,V,L,V,V,L,L,L,L,L,10/03/2022
25,574,V,E,E,E,E,V,E,E,L,03/03/2022
25,573,L,E,E,E,E,V,E,V,L,25/02/2022
25,572,L,L,V,V,V,E,L,E,E,17/02/2022
25,571,E,E,L,L,E,E,V,L,L,10/02/2022
25,570,L,V,V,V,L,E,V,L,V,03/02/2022
25,569,V,V,L,E,V,V,E,V,E,28/01/2022
25,568,E,V,E,E,L,E,L,V,V,21/01/2022
25,567,V,L,E,V,V,E,V,V,E,15/01/2022
25,566,V,L,E,V,V,V,L,L,E,10/01/2022
25,565,L,E,L,V,L,L,L,V,L,30/12/2021
25,564,E,V,V,E,E,E,V,V,L,23/12/2021
25,563,E,V,L,E,L,V,E,V,L,17/12/2021
25,562,E,L,L,V,V,V,L,L,L,10/12/2021
25,561,V,L,V,V,E,L,E,L,L,03/12/2021
25,560,E,E,L,L,E,L,L,L,V,26/11/2021
25,559,L,E,L,V,E,E,V,V,V,17/11/2021
25,558,V,L,E,V,V,E,E,V,L,12/11/2021
25,557,E,V,V,L,V,E,V,E,E,05/11/2021
25,556,V,L,V,E,E,E,L,L,L,29/10/2021
25,555,L,L,L,E,E,L,E,L,V,21/10/2021
25,554,V,L,V,L,E,L,L,V,E,15/10/2021
25,553,E,E,L,V,V,E,E,L,E,08/10/2021
25,552,L,L,L,E,V,L,L,V,L,30/09/2021
25,551,L,L,L,L,E,L,E,E,V,24/09/2021
25,550,L,V,V,V,E,L,V,V,E,17/09/2021
25,549,E,E,V,L,L,V,L,L,E,09/09/2021
25,548,L,E,E,V,L,E,V,E,E,03/09/2021
25,547,E,E,L,V,V,V,E,V,L,27/08/2021
25,546,E,L,L,E,E,E,V,V,V,19/08/2021
25,545,E,L,L,V,L,E,E,E,V,13/08/2021
25,544,E,E,V,E,L,V,V,L,V,06/08/2021
25,543,V,L,E,V,L,E,V,E,V,30/07/2021
25,542,E,V,L,L,L,V,L,L,E,23/07/2021
25,541,E,E,V,L,E,V,V,E,V,16/07/2021
25,540,L,E,L,E,E,E,L,V,L,08/07/2021
25,539,L,L,E,E,V,V,V,E,V,02/07/2021
25,538,E,L,V,V,V,L,L,V,E,25/06/2021
25,537,L,E,L,V,V,L,V,L,E,18/06/2021
25,536,E,V,E,E,V,L,E,L,V,11/06/2021
25,535,V,E,L,E,E,V,E,L,E,04/06/2021
25,534,V,E,V,L,L,L,L,L,E,28/05/2021
25,533,E,L,V,L,V,L,L,V,V,21/05/2021
25,532,L,L,L,L,V,E,V,V,L,14/05/2021
25,531,L,L,E,L,E,L,L,L,E,06/05/2021
25,530,V,E,V,L,L,V,V,E,E,30/04/2021
25,529,V,V,E,L,L,L,L,E,V,23/04/2021
25,528,V,E,V,V,V,E,E,V,L,15/04/2021
25,527,L,L,V,V,V,V,V,E,V,08/04/2021
25,526,V,E,L,V,E,E,V,V,L,01/04/2021
25,525,L,E,V,V,V,L,L,E,V,25/03/2021
25,524,L,L,L,L,L,V,V,V,L,19/03/2021
25,523,E,L,L,E,E,E,E,V,V,11/03/2021
25,522,L,V,V,E,V,L,V,E,L,05/03/2021
25,521,E,L,L,V,V,V,V,V,L,26/02/2021
25,520,V,L,V,V,L,V,V,V,L,19/02/2021
25,519,L,L,E,L,E,L,L,E,L,11/02/2021
25,518,L,E,E,L,V,V,V,E,V,05/02/2021
25,517,E,V,V,L,E,V,L,E,V,29/01/2021
25,516,L,L,L,L,V,L,L,L,L,22/01/2021
25,515,L,E,V,V,E,V,L,L,L,15/01/2021
25,514,V,V,V,E,V,V,E,L,E,06/01/2021
25,513,L,L,L,V,E,L,L,V,E,30/12/2020
25,512,V,V,E,V,V,V,L,L,V,23/12/2020
25,511,E,L,L,L,L,L,E,L,L,18/12/2020
25,510,E,V,L,V,V,E,L,E,L,11/12/2020
25,509,E,L,E,V,E,V,E,V,E,04/12/2020
25,508,L,V,L,V,V,V,E,E,E,27/11/2020
25,507,V,V,L,V,V,L,L,V,V,18/11/2020
25,506,E,L,L,E,E,E,V,E,V,13/11/2020
25,505,E,L,L,V,E,V,L,L,L,05/11/2020
25,504,V,E,E,V,E,V,L,L,V,30/10/2020
25,503,V,E,L,V,L,L,V,V,V,22/10/2020
25,502,E,L,L,V,V,E,L,E,V,16/10/2020
25,501,V,E,E,L,L,E,L,V,L,09/10/2020
25,500,L,L,V,L,V,L,V,V,E,02/10/2020
25,499,E,E,E,L,L,V,L,L,V,25/09/2020
25,498,V,L,V,L,E,L,L,V,L,19/09/2020
25,497,L,V,E,E,V,E,L,L,V,10/09/2020
25,496,L,L,L,E,E,E,L,E,E,04/09/2020
25,495,V,V,V,E,V,V,V,E,E,27/08/2020
25,494,V,V,L,L,E,E,L,E,V,21/08/2020
25,493,L,V,L,V,E,V,L,V,L,14/08/2020
25,492,L,E,L,L,L,L,L,L,L,07/08/2020
25,491,L,V,L,V,L,V,L,L,E,31/07/2020
25,489,V,V,L,E,V,L,L,L,E,13/03/2020
25,488,L,L,V,L,V,L,V,L,L,06/03/2020
