NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,679,D,D,D,D,V,L,V,D,D,L,L,D,L,3100000,08/11/2016
30,678,D,V,L,D,D,L,V,D,L,D,D,L,D,4000000,01/11/2016
30,677,V,D,V,L,D,V,D,L,V,D,V,D,L,3500000,25/10/2016
30,676,L,L,D,D,D,D,D,L,L,V,V,D,L,3200000,18/10/2016
30,675,V,D,D,V,D,L,L,V,L,V,D,L,D,2600000,11/10/2016
30,674,D,L,L,V,V,D,L,V,D,D,V,L,L,2100000,04/10/2016
30,673,L,V,D,D,L,V,V,D,L,L,D,L,V,1700000,27/09/2016
30,672,L,L,D,L,L,D,D,D,L,V,L,D,V,1500000,20/09/2016
30,671,V,V,D,D,D,D,L,D,D,D,D,D,V,1500000,13/09/2016
30,670,D,L,L,D,L,D,L,D,V,L,V,L,V,1500000,02/09/2016
30,669,L,L,D,V,V,V,L,V,D,V,L,L,L,1500000,28/08/2016
30,668,V,V,D,L,V,L,L,V,L,D,L,V,D,1500000,21/08/2016
30,667,L,D,D,D,L,V,V,D,V,D,D,D,V,1500000,15/08/2016
30,666,D,V,D,V,L,L,L,D,D,L,L,D,V,1500000,08/02/2016
30,665,D,L,D,L,D,D,V,D,D,V,L,V,D,5200000,04/01/2016
30,664,L,D,L,D,L,D,D,V,L,L,D,L,D,4600000,29/12/2015
30,663,D,D,L,V,D,L,V,L,V,L,L,V,V,4300000,22/12/2015
30,662,D,V,L,L,V,L,L,L,V,D,L,V,V,4000000,15/12/2015
30,661,V,D,V,D,D,L,D,V,V,V,D,L,D,3500000,08/12/2015
30,660,L,L,V,D,L,L,D,D,L,D,L,D,D,3500000,01/12/2015
30,659,D,D,D,V,D,L,L,V,V,V,L,D,L,3500000,24/11/2015
30,658,D,D,V,V,L,D,L,D,V,D,V,V,D,3500000,17/11/2015
30,657,L,L,L,D,L,D,D,D,V,D,D,D,D,2800000,10/11/2015
30,656,L,D,V,L,D,D,D,D,L,L,D,L,D,2500000,03/11/2015
30,655,D,D,D,D,V,L,L,L,L,V,L,L,L,2000000,27/10/2015
30,654,L,L,D,V,D,D,V,V,D,L,D,V,L,1500000,20/10/2015
30,653,D,D,D,L,L,D,L,D,V,V,D,D,D,1500000,13/10/2015
30,652,V,D,V,V,D,D,L,L,D,V,D,D,D,1800000,06/10/2015
30,651,V,D,D,D,V,L,L,D,L,V,L,V,L,1500000,29/09/2015
30,650,L,L,V,V,V,D,L,D,L,D,D,V,L,1500000,21/09/2015
30,649,V,V,L,L,D,L,D,V,V,D,D,D,L,1500000,15/09/2015
30,648,D,D,D,L,D,V,D,L,V,L,L,D,D,1500000,04/09/2015
30,647,D,L,D,L,V,D,V,V,V,V,D,L,V,1500000,31/08/2015
30,646,D,D,L,D,D,L,D,D,L,D,L,L,L,1500000,25/08/2015
30,645,D,L,L,D,L,D,L,L,D,L,L,V,L,1500000,16/08/2015
30,644,V,L,D,L,D,V,L,D,L,D,D,L,L,1500000,02/02/2015
30,643,V,L,L,V,V,D,V,V,L,D,D,L,L,3000000,29/12/2014
30,642,D,L,D,D,V,V,L,D,V,D,L,V,L,2000000,23/12/2014
30,641,V,L,L,L,L,L,D,L,V,D,L,V,V,2000000,16/12/2014
30,640,D,V,V,V,D,V,L,L,D,V,L,V,D,1500000,09/12/2014
30,639,L,L,L,D,D,D,L,D,L,L,D,V,D,1500000,02/12/2014
30,638,D,L,D,L,V,L,L,L,D,D,D,D,V,1500000,25/11/2014
30,637,L,V,D,V,V,L,D,D,L,L,L,V,D,1500000,18/11/2014
30,636,L,D,D,V,D,L,L,V,V,L,L,L,L,1500000,11/11/2014
30,635,L,D,L,V,L,V,D,D,L,D,L,V,D,3500000,04/11/2014
30,634,D,L,D,L,V,V,D,V,D,L,L,L,D,3500000,28/10/2014
30,633,L,L,D,L,D,V,D,D,L,D,V,L,L,3000000,21/10/2014
30,632,L,D,D,D,V,V,V,V,D,V,L,L,V,2500000,14/10/2014
30,631,L,D,D,L,D,D,L,V,L,D,L,L,V,2000000,07/10/2014
30,630,L,V,L,L,V,D,V,D,L,D,L,L,L,2000000,30/09/2014
30,629,V,D,D,L,L,L,L,V,L,L,V,V,V,1500000,23/09/2014
30,628,L,L,V,V,V,L,L,D,L,V,L,V,D,1500000,16/09/2014
30,627,D,V,L,D,V,D,L,V,L,D,V,L,D,1500000,09/09/2014
30,626,V,V,L,L,D,L,V,D,V,V,V,L,D,1500000,29/08/2014
30,625,L,D,L,V,L,L,V,D,D,V,D,L,D,1500000,25/08/2014
30,624,D,L,L,D,L,D,V,V,D,D,L,D,L,1500000,18/08/2014
30,623,D,L,L,L,D,D,D,D,D,D,D,D,L,1500000,10/08/2014
30,622,V,D,D,D,L,L,L,V,L,D,V,D,D,1500000,02/02/2014
30,621,D,L,L,L,D,L,V,D,L,L,V,D,L,1500000,29/12/2013
30,620,L,D,D,L,L,L,V,L,V,D,L,V,L,1500000,24/12/2013
30,619,D,D,V,L,V,V,L,D,L,D,L,V,D,1500000,17/12/2013
30,618,L,D,L,L,L,D,L,V,L,D,L,D,L,1500000,10/12/2013
30,617,V,L,D,L,D,D,V,D,L,D,V,V,L,1500000,03/12/2013
30,616,D,D,V,D,D,V,L,L,D,L,D,D,V,1500000,26/11/2013
30,615,L,L,L,L,D,D,L,D,V,L,L,D,D,1500000,19/11/2013
30,614,V,D,L,D,V,V,D,D,D,D,V,L,D,1500000,12/11/2013
30,613,L,D,D,V,V,D,V,D,D,L,D,V,D,1500000,05/11/2013
30,612,V,D,L,L,D,V,D,L,L,L,V,D,D,1500000,29/10/2013
30,611,L,D,V,D,D,L,V,D,V,L,D,D,L,1500000,22/10/2013
30,610,D,V,V,V,L,V,V,L,L,D,L,L,L,1500000,13/10/2013
30,609,L,L,D,D,V,V,V,L,L,D,L,L,D,1500000,08/10/2013
30,608,D,D,L,V,D,L,L,L,V,L,L,V,L,1500000,01/10/2013
30,607,L,L,V,L,L,D,L,D,D,V,V,L,L,1500000,24/09/2013
30,606,L,D,D,D,D,L,D,L,D,L,V,L,L,1500000,17/09/2013
30,605,D,V,D,D,V,D,D,L,D,V,D,D,D,1500000,10/09/2013
30,604,L,D,L,V,D,L,D,D,D,L,V,V,L,1500000,30/08/2013
30,603,L,V,D,V,L,D,V,V,L,D,D,V,L,1500000,26/08/2013
30,602,D,D,D,D,L,D,D,L,L,V,L,V,L,1500000,20/08/2013
30,601,V,D,V,D,V,L,V,V,L,D,V,D,V,1500000,11/08/2013
30,600,D,L,L,V,D,L,D,L,V,D,D,D,D,1500000,04/02/2013
30,599,L,D,L,L,L,D,D,D,D,L,D,L,L,1500000,31/12/2012
30,598,L,L,L,D,V,V,D,V,V,L,V,L,V,1500000,24/12/2012
30,597,V,L,L,V,L,V,L,L,V,V,L,V,D,1500000,18/12/2012
30,596,D,L,V,D,V,L,L,D,D,D,L,L,L,1500000,11/12/2012
30,595,D,D,D,D,D,L,V,V,L,D,D,V,D,1500000,04/12/2012
30,594,L,D,L,D,V,L,D,D,D,V,V,L,V,1500000,27/11/2012
30,593,L,D,D,D,D,V,L,D,V,V,L,D,L,1500000,20/11/2012
30,592,V,L,V,D,L,L,D,L,L,V,D,V,D,1500000,13/11/2012
30,591,V,L,V,V,V,V,L,D,L,V,D,D,L,1500000,04/11/2012
30,590,L,V,D,D,V,V,D,D,L,V,D,L,V,1500000,30/10/2012
30,589,D,L,D,V,V,L,D,D,D,D,V,D,D,1500000,23/10/2012
30,588,D,L,L,L,D,D,D,D,D,V,L,V,V,1500000,16/10/2012
30,587,V,D,D,L,L,D,D,D,V,L,L,L,D,1500000,09/10/2012
30,586,L,V,V,D,D,V,D,L,V,D,D,D,V,1500000,02/10/2012
30,585,D,L,L,D,V,D,D,V,D,L,D,D,D,1500000,27/09/2012
30,584,L,L,D,D,D,L,L,L,D,L,L,L,D,1500000,18/09/2012
30,583,L,D,L,L,V,D,V,V,V,D,D,L,L,1500000,09/09/2012
30,582,L,L,D,D,L,D,D,V,D,L,L,L,D,1500000,31/08/2012
30,581,V,L,D,V,D,D,L,V,L,L,D,D,D,1500000,26/08/2012
30,580,D,V,L,D,D,V,L,D,L,V,L,D,V,1500000,19/08/2012
30,579,D,V,L,V,L,D,D,L,L,V,L,L,D,1500000,12/08/2012
30,578,L,D,L,L,L,L,V,D,D,D,D,D,D,1500000,05/02/2012
30,577,D,V,D,L,L,D,V,D,L,D,L,V,D,1500000,02/01/2012
30,576,L,D,D,L,V,L,L,V,D,D,V,D,L,1500000,27/12/2011
30,575,V,V,L,V,D,V,V,D,D,L,V,L,L,1500000,20/12/2011
30,574,D,L,V,D,D,V,L,L,V,D,D,L,L,1500000,13/12/2011
30,573,D,V,V,L,V,V,L,D,D,D,L,L,V,1500000,04/12/2011
30,572,L,V,D,D,D,D,V,D,D,V,D,D,L,1500000,29/11/2011
30,571,L,L,D,L,D,D,D,L,V,L,L,V,L,1500000,22/11/2011
30,570,L,V,V,V,L,D,D,L,V,V,D,V,L,1500000,15/11/2011
30,569,L,V,L,V,V,L,V,V,D,D,V,D,D,1500000,08/11/2011
30,568,L,D,D,D,L,L,V,L,V,L,L,L,D,1500000,01/11/2011
30,567,D,D,V,L,D,D,V,V,V,D,L,L,D,1500000,25/10/2011
30,566,L,D,L,V,L,D,D,L,L,D,D,L,L,1500000,16/10/2011
